short_double_run_twice1,short_double_run_twice2,short_double_run_twice3,short_double_run_twice4,short_double_run_twice5,short_double_run_twice6
0,0,0,0,0,0
0,0,0,0,0,1
0,0,0,0,1,0
0,0,0,0,1,1
0,0,0,1,0,0
0,0,0,1,0,1
0,0,0,1,1,0
0,0,0,1,1,1
1,1,1,1,1,1
1,1,1,1,1,1
0,1,1,0,0,1
0,1,1,0,1,0
0,1,1,0,1,1
0,1,1,1,0,0
0,1,1,1,0,1
0,1,1,1,1,0
0,1,1,1,1,1
1,0,0,0,0,0
0,1,1,1,1,1
0,1,1,1,1,0
0,1,1,1,0,1
0,1,1,1,0,0
0,1,1,0,1,1
0,1,1,0,1,0
0,1,1,0,0,1
1,1,1,1,1,1
1,1,1,1,1,1
0,0,0,1,1,1
0,0,0,1,1,0
0,0,0,1,0,1
0,0,0,1,0,0
0,0,0,0,1,1
0,0,0,0,1,0
0,0,0,0,0,1
0,0,0,0,0,0
0,0,0,0,0,1
0,0,0,0,1,0
0,0,0,0,1,1
0,0,0,1,0,0
0,0,0,1,0,1
0,0,0,1,1,0
0,0,0,1,1,1
1,1,1,1,1,1
1,1,1,1,1,1
0,1,1,0,0,1
0,1,1,0,1,0
0,1,1,0,1,1
0,1,1,1,0,0
0,1,1,1,0,1
0,1,1,1,1,0
0,1,1,1,1,1
1,0,0,0,0,0
0,1,1,1,1,1
0,1,1,1,1,0
0,1,1,1,0,1
0,1,1,1,0,0
0,1,1,0,1,1
0,1,1,0,1,0
0,1,1,0,0,1
1,1,1,1,1,1
1,1,1,1,1,1
0,0,0,1,1,1
0,0,0,1,1,0
0,0,0,1,0,1
0,0,0,1,0,0
0,0,0,0,1,1
0,0,0,0,1,0
0,0,0,0,0,1
